"player_name","player_api_id","overall_rating","gk_attr_total","games_played","leagues_played"
"Patryk Rachwal 18",2625,63,153,90,1
"Diego Mainz",2752,72,53,81,1
"Jose Dorado",2768,75,128,71,1
"Ignacio Gonzalez",2770,74,148,16,2
"Alberto Rey",2790,73,144,50,1
"Javier Jimenez",2796,69,340,1,1
"Pablo Hernandez",2802,82,146,144,2
"Ruben Perez",2805,76,141,131,1
"Ivan Perez",2857,72,143,3,1
"Vicente Sanchez",2862,76,146,17,1
"Gregory Lacombe",2907,68,135,6,1
"Ugur Inceman",2973,72,147,16,1
"David Rivas Rodriguez",2977,82,104,5,1
"Jorge Molina",2983,75,139,71,1
"Sergio Aragones",2984,75,364,38,1
"Alexandre Hauw",3140,69,136,42,1
"Marat Izmailov",3204,81,156,42,1
"Kelly Berville",3263,67,115,19,1
"Abdelmalek Cherrad",3264,62,98,1,1
"Oscar Sanchez",3316,71,108,6,1
"Vincent Euvrard",3329,64,130,85,1
"Luca Belingheri",3377,72,138,1,1
"Aleksander Radosavljevic",3441,71,138,74,1
"Peter Halmosi",3512,75,143,4,1
"Alexandr Kerzhakov",3517,82,149,17,1
"Andrey Arshavin",3520,86,159,70,1
"Lee Wilkie",4747,73,128,36,1
"Boban Grncarov",4863,66,54,25,1
"Iriney",4902,77,145,68,1
"Tim Clancy",4939,64,116,97,1
"Sebastian Olszar",4999,59,108,49,1
"Ibrahim Sidibe",5016,65,50,69,1
"Jeroen Verhoeven",5044,68,344,21,1
"Wilko de Vogt",5047,61,309,10,1
"Sander Duits",5063,68,61,106,1
"Gudmundur Steinarsson",5184,62,108,5,1
"Manuel Silas",5192,72,146,52,1
"Remy Gomis",5202,73,139,163,1
"Laurent Batlles",5217,77,140,102,1
"Raffaele Rubino",5223,63,52,7,1
"Iban Javier Cuadrado",5233,73,132,18,1
"Julio Alvarez",5243,76,149,38,1
"Perez Richi",5247,67,118,16,1
"Gary Coulibaly",5272,68,126,27,1
"Ifet Taljevic 23",5362,60,121,24,1
"Marjan Petkovic",5440,67,332,5,1
"Freddy Mombongo-Dues",5468,62,48,7,1
"Yann Jouffre",5610,75,133,141,1
"Bertrand Robert",5629,73,101,3,1
"Jeremy Blayac",5631,68,113,13,1
"Dimitri Bulykin",5662,73,124,45,1
"Gerry Koning",5686,65,138,28,1
"Rowin van Zaanen",5687,66,52,20,1
"Kees Kwakman",5693,71,148,119,1
"Charles Dissels",5700,65,132,3,1
"Otman Bakkal",5703,75,149,74,1
"Diederik Boer",5710,70,352,53,1
"Denis Dessaer",6757,60,42,1,1
"Oliver Vinamont",6771,60,51,22,1
"Roel van Hemert",6798,60,55,14,1
"Jonas Ivens",6800,68,132,93,2
"Brecht Verbrugghe",6803,63,143,16,1
"Pedro Kamata",6824,72,128,1,1
"Fabian Vargas",6853,76,169,18,1
"Santiago Acasiete",6864,75,134,65,1
"Fabian Canobbio",6911,77,160,38,1
"Toni Lehtinen",7099,60,123,1,1
"Sebastian Sorsa",7206,61,48,2,1
"Roni Porokara",7226,69,145,16,1
"Kasper Haemaelaeinen",7284,72,130,81,1
"Anssi Jaakkola",7334,63,310,12,1
"Tom van Hyfte",7604,67,64,33,1
"Kristian Nushi",7616,63,133,97,1
"Anthony Favre",7621,60,300,51,1
"Thierno Bah",7627,63,76,55,1
"Tibert Pont",7628,57,41,27,1
"Jerome Schneider",7663,55,56,36,1
"Josip Colina",7681,59,128,49,1
"Alessandro Iandoli",7683,66,49,57,1
"Michele Polverino",8777,60,97,31,1
"Marco Perez",8780,73,47,3,1
"Stefan Nater",8784,58,49,87,1
"Thomas Reinmann",8800,63,63,117,1
"Angelo Raso",8837,57,148,43,1
"Cristian Florin Ianu",8840,66,140,60,1
"Marco Padalino",8881,75,143,38,2
"Antoine Rey",8893,65,62,31,1
"Nikica Jelavic",8922,78,110,120,2
"Ryan Thomson",8925,52,49,11,1
"Hrvoje Cale",8930,72,114,17,1
"Dino Drpic",8932,72,108,15,1
"Mile Jedinak",8985,76,136,78,1
"Mensur Mujdza",9079,73,143,87,1
"Ivica Vrdoljak",9086,70,43,112,1
"Ivan Radeljic 18",9124,67,125,18,1
"Tomislav Dujmovic",9128,72,141,9,1
"Yasin Karaca",9144,61,131,8,1
"Joost Volmer",9149,65,101,10,1
"Janos Balogh",9183,71,362,34,1
"Tibor Tisza",9203,65,59,3,1
"Peter Czvitkovics",9213,70,57,11,1
"Balazs Toth",9307,66,126,44,2
"Oleksandr Shevelyukhin",9449,67,46,75,1
"Alejandro Dominguez",10348,78,150,39,1
"Stanislav Vlcek",10404,75,148,1,1
"Evaldas Razulis",10474,62,48,5,1
"Diniyar Bilyaletdinov",10491,79,155,33,1
"Andris Vanins",10637,72,361,223,1
"Robbie Haemhouts",10880,66,61,59,1
"Robert Jez",10933,69,71,102,1
"Pavel Krmas",10950,69,122,93,1
"Petr Jiracek",10967,76,130,38,1
"Maros Klimpl",10984,73,123,20,1
"Tomas Cerny",11024,74,370,135,1
"Roman Hubnik",11027,74,144,34,1
"Vojtech Schulmeister",11038,63,127,2,1
"Matej Krajcik",11049,70,137,6,1
"Michal Svec",11052,70,135,37,1
"Csaba Horvath",11061,66,122,114,2
"Konstantin Engel",11242,67,59,2,1
"Roman Prokoph",11263,65,104,11,1
"Lucas",11285,78,52,8,1
"Jean-Louis Leca",11316,71,357,45,1
"Florent Ghisolfi",11317,64,139,4,1
"Benoit Costil",11319,81,407,181,1
"Steeve Elana",11320,76,374,95,1
"Vincent Plante",11321,74,369,53,1
"Cedric Hengbart",11323,78,119,149,1
"Nicolas Seube",11324,72,130,141,1
"Anthony Deroin",11327,71,139,26,1
"Reynald Lemaitre",11329,70,140,132,1
"Yohann Eudeline",11332,70,132,2,1
"Rudy Riou",11336,71,357,69,2
"Jose Gaspar",11349,68,113,92,1
"Olafur Ingi Skulason",11357,70,128,41,1
"Wade Elliott",11496,74,145,34,1
"Stuart Nelson",11498,65,328,3,1
"Fernando Soriano",11555,74,150,110,1
"Avi Strool",11569,67,141,28,1
"Tamir Cohen",11576,73,155,32,1
"Gael Genevier",11671,69,161,4,1
"Antonio Candreva",11685,83,156,197,1
"Pedro Roma",11716,72,352,2,1
"Nuno Piloto",11726,69,58,94,1
"Tininho",11734,57,111,11,1
"Antolin Alcaraz",11736,74,140,116,3
