"sex","marital","date1a","date2a","act87a","act87b","party","race","bbsmart1","bbsmart2","bbsmart3a","bbsmart3b","bbsmart4","date4a","date4b","stud","snsjob1a","snsjob1b","snsjob1c","snsjob2a","snsjob2b","age","zipcode","educ2","inc"
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,47,20112,6,99
2,1,2,2,NA,2,2,2,8,2,8,2,NA,2,2,3,NA,NA,NA,NA,NA,63,21239,4,6
2,5,NA,NA,NA,NA,1,1,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,86,44730,1,3
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,40,27028,5,6
2,9,2,NA,1,NA,9,1,NA,NA,NA,NA,NA,2,2,3,2,2,1,2,2,65,40511,4,3
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,69,67601,6,8
1,1,NA,NA,NA,NA,3,1,2,2,2,1,6,2,2,3,NA,NA,NA,NA,NA,72,15748,6,99
1,1,NA,NA,NA,NA,1,1,2,2,2,2,NA,1,1,3,NA,NA,NA,NA,NA,70,49690,4,7
1,5,2,2,NA,1,2,1,NA,NA,NA,NA,NA,2,2,3,1,2,1,2,2,77,73655,6,6
1,1,NA,NA,NA,NA,3,1,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,73,4412,3,3
2,5,2,2,2,NA,1,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,81,67642,6,99
2,1,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,77,73086,3,99
1,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,52,55395,4,8
2,1,2,2,1,NA,2,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,74,32771,5,6
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,2,43,29560,6,98
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,2,3,2,2,2,2,2,44,36854,4,7
1,1,NA,2,NA,NA,3,1,2,2,2,2,6,1,2,3,NA,NA,NA,NA,NA,68,42211,8,4
1,1,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,87,71852,5,4
2,3,2,NA,NA,1,2,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,68,10075,8,99
1,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,58,36532,6,7
2,6,2,NA,1,NA,3,5,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,1,31,59043,3,2
1,1,NA,NA,NA,NA,1,1,1,2,1,1,4,2,2,3,NA,NA,NA,NA,NA,85,66051,3,6
2,5,NA,NA,NA,NA,2,1,2,2,1,1,2,1,8,3,NA,NA,NA,NA,NA,93,78954,1,1
1,1,NA,NA,NA,NA,2,1,2,1,1,1,4,1,1,3,NA,NA,NA,NA,NA,57,29706,3,6
1,1,2,NA,NA,2,2,1,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,70,6511,8,9
2,1,2,2,2,NA,3,2,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,36,23452,8,7
2,1,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,39,84005,6,6
2,5,2,NA,NA,2,4,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,85,55014,3,1
2,5,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,8,3,2,2,2,2,2,76,32934,7,6
