"team_name","team_api_id","total_goals_scored","buildup_attr_total","chance_creation_total","defense_attr_total"
"Ruch Chorzów",1601,280,139,186,175
"Oud-Heverlee Leuven",1773,126,153,157,137
"Jagiellonia Bialystok",1957,287,158,163,210
"S.C. Olhanense",2033,138,147,165,155
"Lech Poznan",2182,372,176,196,160
"P. Warszawa",2183,184,80,180,175
"Cracovia",2186,235,125,168,205
"Tubize",4049,35,0,0,0
"Feirense",4064,27,0,0,0
"Évian Thonon Gaillard FC",4087,180,156,180,165
"US Boulogne Cote D'Opale",4170,31,86,165,200
"Novara",6269,34,179,172,151
"KAS Eupen",6351,28,105,160,155
"Uniao da Madeira",6367,27,0,0,0
"GFC Ajaccio",6391,37,153,179,146
"FC Paços de Ferreira",6403,292,142,170,150
"PEC Zwolle",6413,204,137,165,181
"Leixões SC",6421,55,60,165,90
"Go Ahead Eagles",6433,74,160,132,141
"AC Bellinzona",6493,128,101,175,150
"FC Penafiel",6547,29,147,146,121
"FC Volendam",6601,38,0,0,0
"FC Dordrecht",6631,24,134,176,164
"FC Lausanne-Sports",7730,99,141,164,165
"SC Cambuur",7788,119,136,159,138
"SC Bastia",7794,165,174,156,210
"SM Caen",7819,220,157,165,205
"Rio Ave FC",7841,248,157,180,153
"Estoril Praia",7842,167,174,139,150
"Vitória Guimarães",7844,300,131,179,177
"Córdoba CF",7869,22,146,171,129
"Granada CF",7878,179,166,200,170
"Lugano",7896,46,0,0,0
"Sassuolo",7943,141,188,186,138
"FCV Dender EH",7947,44,0,0,0
"Neuchâtel Xamax",7955,171,105,190,150
"Trofense",7992,25,0,0,0
"Górnik Leczna",8019,61,140,139,149
"Polonia Bytom",8020,245,84,150,185
"Zaglebie Lubin",8021,207,133,192,210
"Pogon Szczecin",8023,152,134,185,158
"Widzew Lódz",8024,122,190,185,158
"Slask Wroclaw",8025,318,140,165,180
"Zawisza Bydgoszcz",8027,75,145,168,143
"Piast Gliwice",8028,204,183,169,195
"Lechia Gdansk",8030,279,162,183,205
"Polonia Bytom",8031,88,84,150,185
"Podbeskidzie Bielsko-Biala",8033,169,193,166,152
"Inverness Caledonian Thistle",8066,345,169,174,139
"Angers SCO",8121,40,159,180,140
"FC St. Pauli",8152,35,161,190,185
"1. FC Nürnberg",8165,193,153,180,162
"Hertha BSC Berlin",8177,238,175,172,155
"Bayer 04 Leverkusen",8178,483,157,210,200
"Burnley",8191,70,154,210,205
"Fortuna Düsseldorf",8194,39,198,190,169
"Leicester City",8197,114,164,185,210
"KV Mechelen",8203,285,134,150,190
"TSG 1899 Hoffenheim",8226,400,180,191,200
"FC Ingolstadt 04",8234,33,160,151,140
"Odra Wodzislaw",8242,50,75,155,205
"Widzew Lódz",8244,50,190,185,158
"Korona Kielce",8245,237,192,169,172
"SV Darmstadt 98",8262,38,179,174,129
"Vitesse",8277,423,145,173,180
"Dundee FC",8284,127,142,158,154
"Karlsruher SC",8295,30,164,205,170
"Sevilla FC",8302,478,183,206,195
"Getafe CF",8305,345,117,155,164
"UD Las Palmas",8306,45,147,187,171
"Athletic Club de Bilbao",8315,415,139,184,170
"Arka Gdynia",8322,77,83,150,205
"Club Brugge KV",8342,421,139,170,200
"Cardiff City",8344,32,168,210,210
"Moreirense FC",8348,101,139,144,138
"1. FC Kaiserslautern",8350,72,167,185,210
"SpVgg Greuther Fürth",8357,26,167,170,170
"SC Freiburg",8358,245,151,160,158
"Rayo Vallecano",8370,247,141,161,178
"CA Osasuna",8371,232,143,193,177
"SD Eibar",8372,83,165,179,142
"CD Numancia",8388,38,137,160,158
"Real Zaragoza",8394,159,154,166,158
"FC Energie Cottbus",8398,30,126,175,206
"FC Augsburg",8406,201,169,188,161
"Partick Thistle F.C.",8426,135,143,160,143
"Hamilton Academical FC",8429,185,143,200,195
"Chelsea",8455,583,157,200,168
"Manchester City",8456,606,130,210,180
"Dunfermline Athletic",8457,40,115,168,148
"SC Paderborn 07",8460,31,175,168,145
"Portsmouth",8462,72,148,195,150
"N.E.C.",8464,310,150,158,146
"Southampton",8466,216,129,205,210
"St. Johnstone FC",8467,308,162,150,142
"Sunderland",8472,333,154,195,165
"Waasland-Beveren",8475,105,132,140,114
"RC Recreativo",8479,34,148,140,151
"AS Nancy-Lorraine",8481,203,146,172,210
"Blackpool",8483,55,183,205,210
"Aberdeen",8485,365,184,210,200
"Stade Brestois 29",8521,99,161,168,210
"Atalanta",8524,283,146,170,165
"Willem II",8525,222,150,166,153
"De Graafschap",8526,130,78,153,137
"Wigan Athletic",8528,200,144,190,165
"Cagliari",8529,309,167,196,187
"Catania",8530,251,175,178,147
"Chievo Verona",8533,285,187,170,165
"Empoli",8534,86,145,186,164
"Fiorentina",8535,440,121,172,184
"Livorno",8537,66,183,172,163
"Palermo",8540,351,168,165,152
"Lazio",8543,417,188,220,190
"Rangers",8548,324,153,210,200
"Middlesbrough",8549,28,144,190,147
"FC Metz",8550,31,152,175,150
"Siena",8551,149,144,183,160
"RCD Espanyol",8558,338,146,196,180
"Bolton Wanderers",8559,181,167,185,154
"Real Sociedad",8560,316,162,171,171
"Milan",8564,496,170,177,164
"GKS Belchatów",8569,190,143,175,200
"KV Kortrijk",8571,267,129,159,185
"KV Oostende",8573,102,155,140,133
"AC Ajaccio",8576,116,168,180,140
"Levante UD",8581,241,171,182,155
"AJ Auxerre",8583,168,168,164,145
"Tottenham Hotspur",8586,481,133,210,181
"RC Lens",8588,107,165,180,200
"Olympique de Marseille",8592,462,169,210,200
"Ajax",8593,647,117,199,193
"Falkirk",8596,68,140,200,200
"Kilmarnock",8597,346,167,205,200
"Udinese",8600,415,205,199,160
"Wolverhampton Wanderers",8602,118,140,210,210
"Real Betis Balompié",8603,225,145,206,165
"FC Twente",8611,509,131,172,197
"Boavista FC",8613,51,153,128,148
"Sparta Rotterdam",8614,76,75,140,90
"Real Madrid CF",8633,843,153,200,178
"FC Barcelona",8634,849,122,175,195
"RSC Anderlecht",8635,427,149,182,190
"Inter",8636,496,182,203,165
"LOSC Lille",8639,450,152,184,180
"PSV",8640,652,153,200,167
"Ross County FC",8649,192,153,153,143
"Liverpool",8650,531,171,180,172
"West Ham United",8654,326,184,171,140
"Blackburn Rovers",8655,175,185,185,160
"Birmingham City",8658,75,174,210,210
"West Bromwich Albion",8659,305,145,195,210
"RCD Mallorca",8661,238,172,163,156
"Hull City",8667,144,151,195,210
"Everton",8668,439,137,180,180
"Legia Warszawa",8673,409,141,170,195
"FC Groningen",8674,390,142,177,149
"Bournemouth",8678,45,140,200,210
"Le Mans FC",8682,79,115,195,200
"Roma",8686,530,153,208,155
"FC Lorient",8689,378,158,180,200
"Reggio Calabria",8690,30,163,186,140
"Racing Santander",8696,160,147,205,168
"SV Werder Bremen",8697,423,174,216,205
"VfL Wolfsburg",8721,463,170,210,171
"1. FC Köln",8722,226,171,165,170
"Le Havre AC",9746,30,154,180,168
"En Avant de Guingamp",9747,122,169,170,145
"Olympique Lyonnais",9748,497,161,185,200
"NAC Breda",9761,294,153,141,143
"Gil Vicente FC",9764,110,176,152,149
"Portimonense",9765,29,0,0,0
"Sporting CP",9768,411,178,204,174
"União de Leiria  SAD",9771,85,100,150,154
"SL Benfica",9772,568,178,185,175
"FC Porto",9773,541,173,196,178
"Eintracht Braunschweig",9776,29,183,195,157
"Servette FC",9777,77,99,175,170
"RC Deportivo de La Coruña",9783,241,157,187,154
"Borussia Mönchengladbach",9788,403,121,185,160
"Borussia Dortmund",9789,551,170,194,178
"Hamburger SV",9790,344,164,200,175
"Heracles Almelo",9791,403,147,173,169
"Reading",9798,43,144,210,200
"St. Mirren",9800,257,178,210,200
"Roda JC Kerkrade",9803,343,133,159,146
"Torino",9804,241,209,189,145
"CF Os Belenenses",9807,148,157,160,135
"Naval 1° de Maio",9809,71,115,165,121
"Eintracht Frankfurt",9810,296,153,165,151
"Watford",9817,40,160,205,205
"FC Bayern Munich",9823,653,105,205,184
"FC Vaduz",9824,100,141,137,133
"Arsenal",9825,573,140,150,170
"Crystal Palace",9826,119,173,205,185
"Girondins de Bordeaux",9827,404,139,190,195
"AS Monaco",9829,287,168,165,205
"FC Nantes",9830,135,189,160,152
"OGC Nice",9831,342,175,165,210
"Dijon FCO",9836,38,154,165,149
"Stade de Reims",9837,168,154,165,140
"VVV-Venlo",9839,152,100,164,155
"Paris Saint-Germain",9847,568,174,191,210
"Norwich City",9850,160,140,195,200
"Stade Rennais FC",9851,367,167,195,210
"AS Saint-Étienne",9853,371,165,175,148
"Grenoble Foot 38",9855,55,140,195,195
"Bologna",9857,263,164,175,135
"Brescia",9858,34,141,180,155
"Heart of Midlothian",9860,317,168,210,200
"Málaga CF",9864,377,129,191,164
"UD Almería",9865,202,152,180,193
"CD Tenerife",9867,40,163,180,174
"Xerez Club Deportivo",9868,38,104,159,165
"Real Sporting de Gijón",9869,200,153,185,195
"Valenciennes FC",9873,256,160,188,155
"FC Sochaux-Montbéliard",9874,246,164,184,165
"Napoli",9875,514,180,215,165
"Hellas Verona",9876,145,157,173,169
"Pescara",9878,27,152,180,145
"Fulham",9879,265,142,190,138
"Cesena",9880,98,143,170,145
"Sampdoria",9882,318,130,180,175
"Juventus",9885,543,115,195,169
"Lecce",9888,121,100,175,165
"Frosinone",9891,35,157,156,193
"Hannover 96",9904,359,144,175,210
"1. FSV Mainz 05",9905,320,178,185,170
"Atlético Madrid",9906,524,157,206,160
"FC Utrecht",9908,408,152,182,159
"RC Celta de Vigo",9910,184,169,179,169
"VfL Bochum",9911,72,164,172,172
"DSC Arminia Bielefeld",9912,29,166,165,138
"Celtic",9925,695,180,205,200
"Motherwell",9927,403,172,205,200
"FC Aarau",9930,153,156,181,150
"FC Basel",9931,619,170,186,180
"Dundee United",9938,438,171,205,200
"Toulouse FC",9941,339,158,165,140
"Grasshopper Club Zürich",9956,429,164,184,160
"Bari",9976,76,157,193,161
"KSV Cercle Brugge",9984,213,145,200,195
"Standard de Liège",9985,341,161,182,205
"Sporting Charleroi",9986,201,160,148,210
"KRC Genk",9987,348,148,182,205
"Lierse SK",9989,113,171,169,159
"KAA Gent",9991,390,142,184,166
"Beerschot AC",9993,174,110,185,210
"Sporting Lokeren",9994,279,159,154,200
"Royal Excel Mouscron",9996,42,150,150,140
"Sint-Truidense VV",9997,115,107,154,150
"RAEC Mons",9998,129,160,168,138
"KSV Roeselare",9999,62,125,125,205
"SV Zulte-Waregem",10000,306,147,153,200
"KVC Westerlo",10001,217,148,167,210
"Swansea City",10003,233,135,210,210
"Parma",10167,272,152,176,166
"Queens Park Rangers",10172,115,141,210,210
"FC Sion",10179,371,155,177,146
"FC Schalke 04",10189,426,143,195,185
"FC St. Gallen",10190,276,146,157,155
"FC Thun",10191,279,152,166,145
"BSC Young Boys",10192,529,172,202,170
"Stoke City",10194,322,150,195,153
"FC Luzern",10199,421,165,175,153
"Villarreal CF",10205,364,126,161,165
"SC Beira Mar",10211,93,94,165,155
"CS Marítimo",10212,316,182,186,144
"Amadora",10213,26,0,0,0
"CD Nacional",10214,332,167,165,156
"Académica de Coimbra",10215,240,150,172,151
"ADO Den Haag",10217,366,162,181,173
"Excelsior",10218,154,163,162,106
"RKC Waalwijk",10219,153,142,159,150
"SC Heerenveen",10228,470,150,171,183
"AZ",10229,492,154,185,184
"Genoa",10233,392,184,182,154
"Feyenoord",10235,489,154,165,160
"Vitória Setúbal",10238,238,149,165,140
"ES Troyes AC",10242,71,148,150,140
"FC Zürich",10243,468,157,165,163
"Montpellier Hérault SC",10249,344,162,160,210
"Hibernian",10251,259,148,200,200
"Aston Villa",10252,335,170,185,145
"Manchester United",10260,582,134,200,163
"Newcastle United",10261,324,152,195,161
"SC Braga",10264,398,145,166,150
"Wisla Kraków",10265,332,135,183,205
"Valencia CF",10267,484,116,185,175
"Elche CF",10268,65,171,165,158
"VfB Stuttgart",10269,415,168,200,175
"Hércules Club de Fútbol",10278,36,154,178,160
"Real Valladolid",10281,170,153,172,161
"AC Arles-Avignon",108893,21,156,141,158
"FC Arouca",158085,101,174,160,113
"Termalica Bruk-Bet Nieciecza",177361,33,0,0,0
"Tondela",188163,34,0,0,0
"Carpi",208931,37,190,160,141
"Royal Excel Mouscron",274581,71,150,150,140
